GeneChip,ProbeSet,ProbeX,ProbeY,PM/MM,PixelX,PixelY,Intensity
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,901,3693,653
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,902,3689,368
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,902,3690,601
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,902,3691,684
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,902,3692,731
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,902,3693,730
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,903,3689,417
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,903,3690,575
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,903,3691,1627
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,903,3692,1642
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,903,3693,1709
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,904,3689,1894
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,904,3690,1920
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,904,3691,3841
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,904,3692,2781
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,97,493,PM,904,3693,2039
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1799,2595,145
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1799,2596,151
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1799,2597,125
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1799,2598,138
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1799,2599,144
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1800,2595,94
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1800,2596,115
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1800,2597,137
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1800,2598,154
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1800,2599,133
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1801,2595,95
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1801,2596,133
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1801,2597,135
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1801,2598,152
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1801,2599,141
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1802,2595,86
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1802,2596,82
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1802,2597,1984
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1802,2598,2941
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1802,2599,1049
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1803,2595,1948
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1803,2596,19084
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1803,2597,1984
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1803,2598,1634
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,224,337,PM,1803,2599,1982
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2892,3739,2010
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2892,3740,2465
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2892,3741,2480
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2892,3742,2278
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2892,3743,2062
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2893,3739,2292
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2893,3740,2609
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2893,3741,2609
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2893,3742,2528
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2893,3743,2247
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2894,3739,2069
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2894,3740,2324
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2894,3741,2469
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2894,3742,2525
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2894,3743,2300
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2895,3739,1960
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2895,3740,2138
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2895,3741,2165
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2895,3742,2274
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2895,3743,2107
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2896,3739,1240
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2896,3740,1537
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2896,3741,1422
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2896,3742,1405
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,380,499,PM,2896,3743,1177
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,3999,1603,2686
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,3999,1604,3113
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,3999,1605,3257
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,3999,1606,3425
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,3999,1607,3679
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4000,1603,2610
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4000,1604,3129
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4000,1605,3372
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4000,1606,3517
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4000,1607,3611
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4001,1603,2774
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4001,1604,3235
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4001,1605,3386
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4001,1606,3429
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4001,1607,3540
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4002,1603,2669
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4002,1604,2966
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4002,1605,3234
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4002,1606,3392
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4002,1607,3510
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4003,1603,2156
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4003,1604,2159
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4003,1605,2124
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4003,1606,2114
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,536,195,PM,4003,1607,2283
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4520,1661,492
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4520,1662,707
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4520,1663,843
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4520,1664,894
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4520,1665,864
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4521,1661,531
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4521,1662,834
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4521,1663,974
HG-U133A_2,AFFX-HUMGAPDH/M33197_5_at,610,203,PM,4521,1664,1042
